rota_principal,sentido,data,dia_da_semana,antecedencia,pax,tkm_comp,capacidade_atual,occ_atual,load_factor_atual,assentos_disponiveis,predict_time_series,predict_eixo_sentido,predict_consenso,pct_atingimento_forecast,pax_faltam_forecast,pax_d5,pax_d4,pax_d3,pax_d2,pax_d1,pax_hoje_parcial,media_d2_d5,aceleracao_abs,aceleracao_pct,tendencia_linear,sinal
SAO-SJP,SAO-SJP,2026-04-17,6,8,226,112.76,410,0.55,0.5,184,425,428,427,52.9,201,10,20,15,31,35,0,19.0,16.0,84.2,4.1,🟢 ACELERANDO - OPORTUNIDADE
RAO-RIO,RIO-RAO,2026-04-17,6,8,33,212.6,53,0.62,0.56,20,60,64,62,53.2,29,3,6,0,3,6,0,3.0,3.0,100.0,0.2,🟢 ACELERANDO - OPORTUNIDADE
ARB-SAO,ARB-SAO,2026-04-20,2,11,55,130.72,153,0.36,0.31,98,80,125,103,53.4,48,0,9,2,17,20,0,7.0,13.0,185.7,3.2,🟢 ACELERANDO - OPORTUNIDADE
BHZ-SAO,BHZ-SAO,2026-04-17,6,8,242,167.31,392,0.62,0.58,150,486,418,452,53.5,210,2,26,54,45,52,0,31.8,20.3,63.8,7.9,🟢 ACELERANDO - OPORTUNIDADE
ARB-SAO,ARB-SAO,2026-04-21,3,12,63,167.6,159,0.4,0.34,96,89,145,117,53.8,54,0,3,11,24,17,0,9.5,7.5,78.9,3.7,🟢 ACELERANDO - OPORTUNIDADE
SAO-SJP,SJP-SAO,2026-04-21,3,12,149,114.42,319,0.47,0.4,170,220,332,276,54.0,127,6,7,6,24,14,0,10.8,3.3,30.2,2.2,🟢 ACELERANDO - OPORTUNIDADE
BHZ-CAB,BHZ-CAB,2026-04-20,2,11,82,135.24,237,0.35,0.31,155,149,152,151,54.3,69,0,0,12,16,19,0,7.0,12.0,171.4,3.6,🟢 ACELERANDO - OPORTUNIDADE
CGR-SAO,CGR-SAO,2026-04-22,4,13,48,157.55,120,0.4,0.38,72,81,95,88,54.5,40,0,3,24,9,12,0,9.0,3.0,33.3,2.0,🟢 ACELERANDO - OPORTUNIDADE
RIO-SAO,SAO-RIO,2026-04-18,7,9,202,138.67,434,0.47,0.45,232,360,375,368,54.9,166,27,38,51,47,99,0,40.8,58.3,142.9,10.2,🟢 ACELERANDO - OPORTUNIDADE
BHZ-MCL,BHZ-MCL,2026-04-17,6,8,96,107.69,256,0.38,0.36,160,157,188,173,55.5,77,6,3,24,45,51,0,19.5,31.5,161.5,8.8,🟢 ACELERANDO - OPORTUNIDADE
RIO-STS,STS-RIO,2026-04-20,2,11,15,121.37,56,0.27,0.26,41,22,32,27,55.6,12,0,6,6,0,6,0,3.0,3.0,100.0,0.4,🟢 ACELERANDO - OPORTUNIDADE
SAO-SJP,SAO-SJP,2026-04-21,3,12,151,99.1,325,0.46,0.4,174,220,311,266,56.8,115,1,8,27,18,55,0,13.5,41.5,307.4,7.9,🟢 ACELERANDO - OPORTUNIDADE
RAO-RIO,RAO-RIO,2026-04-22,4,13,25,154.5,53,0.47,0.42,28,42,46,44,56.8,19,0,6,0,6,9,0,3.0,6.0,200.0,1.2,🟢 ACELERANDO - OPORTUNIDADE
BHZ-VIX,BHZ-VIX,2026-04-18,7,9,101,145.3,174,0.58,0.55,73,195,154,175,57.7,74,3,8,11,17,14,0,9.8,4.3,43.6,2.1,🟢 ACELERANDO - OPORTUNIDADE
BHZ-MCL,MCL-BHZ,2026-04-17,6,8,102,103.67,256,0.4,0.4,154,176,170,173,59.0,71,6,39,27,18,39,0,22.5,16.5,73.3,3.0,🟢 ACELERANDO - OPORTUNIDADE
RIO-SAO,RIO-SAO,2026-04-21,3,12,409,197.05,757,0.54,0.52,348,490,873,682,60.0,273,19,23,71,87,84,0,50.0,34.0,68.0,12.9,🟢 ACELERANDO - OPORTUNIDADE
BHZ-VIX,VIX-BHZ,2026-04-17,6,8,209,173.42,315,0.66,0.62,106,363,323,343,60.9,134,10,21,11,21,24,0,15.8,8.3,52.4,1.9,🟢 ACELERANDO - OPORTUNIDADE
BHZ-RIO,BHZ-RIO,2026-04-16,5,7,234,164.98,344,0.68,0.64,110,314,440,377,62.1,143,2,10,20,31,29,0,15.8,13.3,84.1,5.0,🟢 ACELERANDO - OPORTUNIDADE
BHZ-UDI,UDI-BHZ,2026-04-21,3,12,70,165.0,148,0.47,0.44,78,76,144,110,63.6,40,1,10,4,36,19,0,12.8,6.3,49.0,4.1,🟢 ACELERANDO - OPORTUNIDADE
JDF-SAO,JDF-SAO,2026-04-17,6,8,58,128.18,102,0.57,0.48,44,92,90,91,63.7,33,12,6,10,6,23,0,8.5,14.5,170.6,1.5,🟢 ACELERANDO - OPORTUNIDADE
RIO-VIX,RIO-VIX,2026-04-16,5,7,96,127.19,175,0.55,0.51,79,143,155,149,64.4,53,15,5,21,23,23,0,16.0,7.0,43.8,2.3,🟢 ACELERANDO - OPORTUNIDADE
BHZ-BSB,BHZ-BSB,2026-04-20,2,11,22,189.72,91,0.24,0.24,69,30,38,34,64.7,12,6,4,2,2,8,0,3.5,4.5,128.6,0.1,🟢 ACELERANDO - OPORTUNIDADE
RIO-UDI,RIO-UDI,2026-04-18,7,9,35,154.16,56,0.63,0.56,21,64,44,54,64.8,19,0,0,0,33,12,0,8.3,3.8,45.5,3.8,🟢 ACELERANDO - OPORTUNIDADE
