rota_principal,sentido,data,dia_da_semana,antecedencia,pax,tkm_comp,capacidade_atual,occ_atual,load_factor_atual,assentos_disponiveis,predict_time_series,predict_eixo_sentido,predict_consenso,pct_atingimento_forecast,pax_faltam_forecast,pax_d5,pax_d4,pax_d3,pax_d2,pax_d1,pax_hoje_parcial,media_d2_d5,aceleracao_abs,aceleracao_pct,tendencia_linear,sinal
BHZ-CAB,CAB-BHZ,2026-04-22,4,13,153,160.24,274,0.56,0.53,121,202,317,260,58.8,107,1,0,12,6,0,0,4.8,-4.8,-100.0,0.3,🔵 DESACELERANDO
RIO-VIX,RIO-VIX,2026-04-21,3,12,95,146.82,172,0.55,0.53,77,128,191,160,59.4,65,0,23,55,25,11,0,25.8,-14.8,-57.3,1.6,🔵 DESACELERANDO
BHZ-GYN,BHZ-GYN,2026-04-17,6,8,42,169.45,64,0.66,0.59,22,63,76,70,60.0,28,9,9,0,3,0,0,5.3,-5.3,-100.0,-1.6,🔵 DESACELERANDO
CPC-FLN,FLN-CPC,2026-04-21,3,12,161,208.24,291,0.55,0.49,130,233,300,267,60.3,106,4,19,15,20,5,0,14.5,-9.5,-65.5,0.2,🔵 DESACELERANDO
CGR-SAO,CGR-SAO,2026-04-18,7,9,56,139.24,120,0.47,0.43,64,76,99,88,63.6,32,9,3,3,27,3,3,10.5,-7.5,-71.4,0.8,🔵 DESACELERANDO
GVS-SAO,SAO-GVS,2026-04-17,6,8,51,159.66,64,0.8,0.61,13,73,85,79,64.6,28,0,12,9,12,3,0,8.3,-5.3,-63.6,0.4,🔵 DESACELERANDO
CAB-RIO,RIO-CAB,2026-04-17,6,8,141,55.01,184,0.77,0.7,43,257,176,217,65.0,76,19,3,15,21,6,0,14.5,-8.5,-58.6,-0.5,🔵 DESACELERANDO
CRG-SAO,SAO-CRG,2026-04-18,7,9,133,77.55,228,0.58,0.51,95,141,247,194,68.6,61,4,16,12,8,1,0,10.0,-9.0,-90.0,-0.9,🔵 DESACELERANDO
BHZ-RAO,RAO-BHZ,2026-04-17,6,8,36,180.93,60,0.6,0.46,24,69,35,52,69.2,16,6,12,21,3,3,0,10.5,-7.5,-71.4,-1.0,🔵 DESACELERANDO
RIO-UDI,RIO-UDI,2026-04-17,6,8,41,211.66,56,0.73,0.59,15,63,55,59,69.5,18,9,3,12,12,6,0,9.0,-3.0,-33.3,0.2,🔵 DESACELERANDO
RAO-RIO,RAO-RIO,2026-04-20,2,11,24,134.65,53,0.45,0.42,29,27,41,34,70.6,10,3,3,18,3,0,0,6.8,-6.8,-100.0,-0.4,🔵 DESACELERANDO
PNV-SAO,PNV-SAO,2026-04-17,6,8,30,176.9,45,0.67,0.56,15,40,37,39,76.9,9,1,0,8,3,0,0,3.0,-3.0,-100.0,0.1,🔵 DESACELERANDO
MCL-RIO,MCL-RIO,2026-04-20,2,11,12,116.57,60,0.2,0.11,48,20,10,15,80.0,3,6,3,0,6,0,0,3.8,-3.8,-100.0,-0.6,🔵 DESACELERANDO
GYN-SAO,GYN-SAO,2026-04-20,2,11,42,128.92,60,0.7,0.52,18,40,54,47,89.4,5,0,24,9,9,0,0,10.5,-10.5,-100.0,-1.0,🔵 DESACELERANDO
BHZ-MCE,BHZ-MCE,2026-04-17,6,8,36,179.34,45,0.8,0.7,9,38,31,35,102.9,0,1,8,3,2,0,0,3.5,-3.5,-100.0,-0.5,🔵 DESACELERANDO
BHZ-BSB,BSB-BHZ,2026-04-20,2,11,34,141.56,91,0.37,0.37,57,27,38,33,103.0,0,2,4,8,6,2,0,5.0,-3.0,-60.0,0.1,🔵 DESACELERANDO
ANG-BHZ,BHZ-ANG,2026-04-17,6,8,75,288.9,95,0.79,0.75,20,62,78,70,107.1,0,0,15,3,9,0,0,6.8,-6.8,-100.0,-0.4,🔵 DESACELERANDO
ANG-BHZ,ANG-BHZ,2026-04-21,3,12,47,242.71,98,0.48,0.45,51,25,57,41,114.6,0,0,13,0,3,0,0,4.0,-4.0,-100.0,-0.7,🔵 DESACELERANDO
CAB-JDF,CAB-JDF,2026-04-21,3,12,157,86.1,184,0.85,0.81,27,62,158,110,142.7,0,5,28,13,62,14,0,27.0,-13.0,-48.1,3.5,🔵 DESACELERANDO
CMP-SJK,CMP-SJK,2026-04-21,3,12,1,44.9,46,0.02,0.01,45,57,53,55,1.8,54,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
BHZ-RAO,BHZ-RAO,2026-04-19,1,10,1,242.9,49,0.02,0.01,48,45,41,43,2.3,42,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
GYN-SAO,SAO-GYN,2026-04-22,4,13,1,137.9,60,0.02,0.02,59,39,46,43,2.3,42,0,0,0,3,0,0,0.8,-0.8,-100.0,0.2,⚪ NORMAL
MCE-SAO,SAO-MCE,2026-04-22,4,13,1,81.9,44,0.02,0.02,43,44,15,30,3.3,29,0,1,0,0,0,0,0.3,-0.3,-100.0,-0.1,⚪ NORMAL
CAB-JDF,JDF-CAB,2026-04-20,2,11,1,51.9,45,0.02,0.02,44,37,19,28,3.6,27,0,0,0,1,0,0,0.3,-0.3,-100.0,0.1,⚪ NORMAL
CMP-SJK,CMP-SJK,2026-04-20,2,11,2,24.4,46,0.04,0.01,44,46,42,44,4.5,42,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
BHZ-MCE,MCE-BHZ,2026-04-18,7,9,1,139.9,45,0.02,0.02,44,28,10,19,5.3,18,0,0,1,0,0,0,0.3,-0.3,-100.0,0.0,⚪ NORMAL
BHZ-RAO,RAO-BHZ,2026-04-18,7,9,3,114.23,49,0.06,0.04,46,58,44,51,5.9,48,0,0,0,0,4,0,0.0,4.0,,0.5,⚪ NORMAL
CMP-SJK,SJK-CMP,2026-04-22,4,13,4,30.4,46,0.09,0.04,42,79,48,64,6.3,60,0,0,0,1,0,0,0.3,-0.3,-100.0,0.1,⚪ NORMAL
CAB-RIO,RIO-CAB,2026-04-22,4,13,7,35.19,45,0.16,0.15,38,152,71,112,6.3,105,0,0,0,0,2,0,0.0,2.0,,0.3,⚪ NORMAL
BHZ-IPA,BHZ-IPA,2026-04-22,4,13,12,55.73,180,0.07,0.06,168,162,199,181,6.6,169,0,0,1,1,2,0,0.5,1.5,300.0,0.3,⚪ NORMAL
CMP-SJK,SJK-CMP,2026-04-19,1,10,3,33.9,46,0.07,0.03,43,42,43,43,7.0,40,0,2,0,1,0,0,0.8,-0.8,-100.0,-0.1,⚪ NORMAL
OLP-SAO,OLP-SAO,2026-04-22,4,13,3,59.23,46,0.07,0.05,43,44,31,38,7.9,35,1,1,0,0,0,0,0.5,-0.5,-100.0,-0.2,⚪ NORMAL
CMP-SAO,CMP-SAO,2026-04-22,4,13,21,22.76,276,0.08,0.07,255,252,271,262,8.0,241,0,2,2,5,2,0,2.3,-0.3,-11.1,0.5,⚪ NORMAL
IPA-VIX,IPA-VIX,2026-04-19,1,10,6,104.57,81,0.07,0.05,75,82,68,75,8.0,69,0,1,0,0,0,0,0.3,-0.3,-100.0,-0.1,⚪ NORMAL
OLP-SAO,OLP-SAO,2026-04-19,1,10,7,64.33,92,0.08,0.05,85,94,76,85,8.2,78,0,0,0,0,3,0,0.0,3.0,,0.4,⚪ NORMAL
CMP-SJK,SJK-CMP,2026-04-17,6,8,5,33.1,46,0.11,0.05,41,77,42,60,8.3,55,0,0,0,2,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
CAB-RIO,RIO-CAB,2026-04-21,3,12,11,40.26,90,0.12,0.11,79,148,112,130,8.5,119,0,0,1,4,0,0,1.3,-1.3,-100.0,0.3,⚪ NORMAL
IPA-VIX,IPA-VIX,2026-04-22,4,13,6,100.9,40,0.15,0.15,34,65,65,65,9.2,59,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
BHZ-UDI,UDI-BHZ,2026-04-22,4,13,9,112.46,102,0.09,0.08,93,101,86,94,9.6,85,0,3,0,3,1,0,1.5,-0.5,-33.3,0.1,⚪ NORMAL
BHZ-MCL,BHZ-MCL,2026-04-22,4,13,10,92.4,128,0.08,0.08,118,95,106,101,9.9,91,0,9,0,0,3,0,2.3,0.8,33.3,-0.2,⚪ NORMAL
CAB-VIX,VIX-CAB,2026-04-22,4,13,3,66.23,44,0.07,0.05,41,37,22,30,10.0,27,0,0,2,0,0,0,0.5,-0.5,-100.0,0.0,⚪ NORMAL
CMP-SJK,CMP-SJK,2026-04-19,1,10,7,28.04,46,0.15,0.06,39,67,66,67,10.4,60,0,0,0,0,1,0,0.0,1.0,,0.1,⚪ NORMAL
CMP-SJK,SJK-CMP,2026-04-18,7,9,7,31.76,46,0.15,0.07,39,94,40,67,10.4,60,0,0,0,1,1,0,0.3,0.8,300.0,0.2,⚪ NORMAL
CAB-RIO,CAB-RIO,2026-04-22,4,13,11,34.08,45,0.24,0.23,34,112,93,103,10.7,92,0,0,2,3,1,0,1.3,-0.3,-20.0,0.3,⚪ NORMAL
PAS-SAO,SAO-PAS,2026-04-22,4,13,4,67.15,46,0.09,0.09,42,45,28,37,10.8,33,0,0,0,1,0,0,0.3,-0.3,-100.0,0.1,⚪ NORMAL
BHZ-UDI,UDI-BHZ,2026-04-19,1,10,15,169.77,101,0.15,0.14,86,161,116,139,10.8,124,4,0,0,1,3,0,1.3,1.8,140.0,-0.1,⚪ NORMAL
CMP-SAO,CMP-SAO,2026-04-20,2,11,43,22.16,506,0.08,0.07,463,409,374,392,11.0,349,8,2,4,4,5,0,4.5,0.5,11.1,-0.3,⚪ NORMAL
BHZ-MCE,BHZ-MCE,2026-04-22,4,13,2,142.9,45,0.04,0.04,43,20,15,18,11.1,16,0,0,0,0,2,0,0.0,2.0,,0.3,⚪ NORMAL
SAO-SJK,SAO-SJK,2026-04-22,4,13,14,14.26,184,0.08,0.07,170,157,93,125,11.2,111,1,1,3,0,2,0,1.3,0.8,60.0,0.1,⚪ NORMAL
BHZ-IPA,IPA-BHZ,2026-04-22,4,13,22,54.4,176,0.13,0.1,154,160,226,193,11.4,171,0,1,4,1,2,0,1.5,0.5,33.3,0.3,⚪ NORMAL
BAT-SAO,BAT-SAO,2026-04-18,7,9,8,78.28,45,0.18,0.16,37,76,62,69,11.6,61,2,0,0,2,0,0,1.0,-1.0,-100.0,-0.1,⚪ NORMAL
PAS-SAO,SAO-PAS,2026-04-19,1,10,4,60.65,46,0.09,0.06,42,30,37,34,11.8,30,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
CAB-JDF,JDF-CAB,2026-04-21,3,12,6,48.57,44,0.14,0.13,38,60,39,50,12.0,44,0,0,0,3,0,0,0.8,-0.8,-100.0,0.2,⚪ NORMAL
SAO-SJK,SJK-SAO,2026-04-19,1,10,22,20.17,184,0.12,0.11,162,221,144,183,12.0,161,2,0,0,6,8,0,2.0,6.0,300.0,1.2,⚪ NORMAL
PNV-SAO,PNV-SAO,2026-04-22,4,13,4,158.9,44,0.09,0.08,40,35,30,33,12.1,29,0,1,0,0,0,0,0.3,-0.3,-100.0,-0.1,⚪ NORMAL
SAO-SJK,SAO-SJK,2026-04-21,3,12,17,19.25,138,0.12,0.12,121,156,118,137,12.4,120,0,3,1,1,6,0,1.3,4.8,380.0,0.7,⚪ NORMAL
BHZ-MCE,BHZ-MCE,2026-04-18,7,9,2,126.9,45,0.04,0.04,43,25,7,16,12.5,14,0,0,0,2,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
CAB-JDF,CAB-JDF,2026-04-18,7,9,5,44.3,45,0.11,0.09,40,52,28,40,12.5,35,0,0,0,2,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
CMP-SAO,SAO-CMP,2026-04-22,4,13,34,22.43,276,0.12,0.11,242,257,288,273,12.5,239,2,1,2,3,6,0,2.0,4.0,200.0,0.7,⚪ NORMAL
BRU-SAO,BRU-SAO,2026-04-19,1,10,6,56.9,88,0.07,0.07,82,51,44,48,12.5,42,2,0,0,0,1,0,0.5,0.5,100.0,-0.1,⚪ NORMAL
BOA-MAN,MAN-BOA,2026-04-22,4,13,4,92.65,43,0.09,0.08,39,31,32,32,12.5,28,0,0,1,0,0,0,0.3,-0.3,-100.0,0.0,⚪ NORMAL
BHZ-IPA,BHZ-IPA,2026-04-19,1,10,46,64.62,493,0.09,0.08,447,368,364,366,12.6,320,3,2,6,9,5,0,5.0,0.0,0.0,0.7,⚪ NORMAL
CMP-SJK,CMP-SJK,2026-04-22,4,13,7,29.61,46,0.15,0.07,39,60,50,55,12.7,48,0,1,1,2,1,0,1.0,0.0,0.0,0.2,⚪ NORMAL
GYN-SAO,GYN-SAO,2026-04-21,3,12,5,78.7,60,0.08,0.03,55,37,39,38,13.2,33,0,0,0,0,15,0,0.0,15.0,,2.0,⚪ NORMAL
CMP-SAO,SAO-CMP,2026-04-21,3,12,42,26.4,458,0.09,0.07,416,263,370,317,13.2,275,4,4,1,7,6,0,4.0,2.0,50.0,0.5,⚪ NORMAL
CMP-SJK,CMP-SJK,2026-04-17,6,8,9,34.57,46,0.2,0.09,37,74,59,67,13.4,58,1,1,1,2,1,0,1.3,-0.3,-20.0,0.1,⚪ NORMAL
GVS-SAO,SAO-GVS,2026-04-22,4,13,7,117.19,64,0.11,0.07,57,65,37,51,13.7,44,0,0,0,3,0,0,0.8,-0.8,-100.0,0.2,⚪ NORMAL
SAO-SJK,SAO-SJK,2026-04-20,2,11,17,17.37,138,0.12,0.12,121,137,111,124,13.7,107,3,0,1,1,5,0,1.3,3.8,300.0,0.3,⚪ NORMAL
CMP-RIO,CMP-RIO,2026-04-19,1,10,8,123.77,60,0.13,0.12,52,61,55,58,13.8,50,0,0,6,0,6,0,1.5,4.5,300.0,0.8,⚪ NORMAL
BAT-SAO,SAO-BAT,2026-04-18,7,9,10,89.8,45,0.22,0.21,35,67,76,72,13.9,62,1,0,0,2,0,0,0.8,-0.8,-100.0,0.0,⚪ NORMAL
SAO-SJP,SAO-SJP,2026-04-22,4,13,32,83.56,184,0.17,0.14,152,235,226,231,13.9,199,1,6,0,4,4,0,2.8,1.3,45.5,0.3,⚪ NORMAL
CMP-SJK,SJK-CMP,2026-04-20,2,11,7,36.47,46,0.15,0.11,39,48,52,50,14.0,43,0,0,1,0,0,0,0.3,-0.3,-100.0,0.0,⚪ NORMAL
CRG-SAO,SAO-CRG,2026-04-22,4,13,15,40.37,136,0.11,0.08,121,114,100,107,14.0,92,0,1,1,3,3,0,1.3,1.8,140.0,0.5,⚪ NORMAL
RAO-SAO,RAO-SAO,2026-04-22,4,13,60,72.05,328,0.18,0.16,268,433,423,428,14.0,368,2,5,7,13,8,0,6.8,1.3,18.5,1.3,⚪ NORMAL
BHZ-CMP,CMP-BHZ,2026-04-22,4,13,6,137.57,40,0.15,0.14,34,34,51,43,14.0,37,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
SAO-SJK,SAO-SJK,2026-04-18,7,9,27,21.57,184,0.15,0.14,157,246,135,191,14.1,164,2,3,1,1,2,0,1.8,0.3,14.3,-0.1,⚪ NORMAL
SAO-SJP,SJP-SAO,2026-04-19,1,10,55,88.23,404,0.14,0.12,349,392,383,388,14.2,333,0,4,10,17,10,0,7.8,2.3,29.0,2.2,⚪ NORMAL
JDF-SAO,SAO-JDF,2026-04-22,4,13,8,104.9,120,0.07,0.06,112,75,34,55,14.5,47,0,0,3,6,9,0,2.3,6.8,300.0,1.6,⚪ NORMAL
SAO-SJK,SJK-SAO,2026-04-21,3,12,24,21.19,184,0.13,0.13,160,197,132,165,14.5,141,2,1,1,3,2,0,1.8,0.3,14.3,0.1,⚪ NORMAL
QDC-SAO,SAO-QDC,2026-04-22,4,13,4,119.4,45,0.09,0.08,41,32,21,27,14.8,23,0,0,2,1,0,0,0.8,-0.8,-100.0,0.1,⚪ NORMAL
BHZ-DTI,BHZ-DTI,2026-04-22,4,13,7,57.9,45,0.16,0.14,38,47,47,47,14.9,40,0,0,2,2,0,0,1.0,-1.0,-100.0,0.1,⚪ NORMAL
QAK-SAO,SAO-QAK,2026-04-19,1,10,6,110.9,44,0.14,0.11,38,43,36,40,15.0,34,0,0,2,0,2,0,0.5,1.5,300.0,0.3,⚪ NORMAL
CAB-VIX,CAB-VIX,2026-04-22,4,13,5,73.7,52,0.1,0.09,47,38,28,33,15.2,28,1,0,0,1,1,0,0.5,0.5,100.0,0.1,⚪ NORMAL
PAS-SAO,SAO-PAS,2026-04-18,7,9,5,63.3,46,0.11,0.09,41,37,28,33,15.2,28,0,0,0,0,2,0,0.0,2.0,,0.3,⚪ NORMAL
SAO-SJK,SJK-SAO,2026-04-20,2,11,22,17.4,184,0.12,0.11,162,160,127,144,15.3,122,2,2,0,1,4,0,1.3,2.8,220.0,0.2,⚪ NORMAL
CMP-RIO,CMP-RIO,2026-04-22,4,13,10,77.2,44,0.23,0.21,34,68,62,65,15.4,55,0,0,0,2,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
BHZ-MCE,BHZ-MCE,2026-04-19,1,10,5,109.5,45,0.11,0.08,40,36,27,32,15.6,27,0,0,2,1,0,0,0.8,-0.8,-100.0,0.1,⚪ NORMAL
IPA-VIX,IPA-VIX,2026-04-20,2,11,9,94.79,80,0.11,0.09,71,61,52,57,15.8,48,0,1,2,1,4,0,1.0,3.0,300.0,0.5,⚪ NORMAL
BHZ-RAO,BHZ-RAO,2026-04-22,4,13,7,101.33,60,0.12,0.07,53,55,33,44,15.9,37,0,0,3,0,6,0,0.8,5.3,700.0,0.8,⚪ NORMAL
SAO-SJP,SAO-SJP,2026-04-20,2,11,47,96.84,314,0.15,0.13,267,285,301,293,16.0,246,5,0,9,4,3,0,4.5,-1.5,-33.3,0.0,⚪ NORMAL
BHZ-RIO,BHZ-RIO,2026-04-22,4,13,57,142.34,259,0.22,0.21,202,413,297,355,16.1,298,0,1,5,13,4,0,4.8,-0.8,-15.8,1.3,⚪ NORMAL
BAT-SAO,SAO-BAT,2026-04-22,4,13,16,85.34,91,0.18,0.15,75,103,92,98,16.3,82,0,0,0,6,0,0,1.5,-1.5,-100.0,0.4,⚪ NORMAL
CGR-SAO,SAO-CGR,2026-04-19,1,10,13,155.9,120,0.11,0.1,107,83,76,80,16.3,67,0,3,3,0,0,0,1.5,-1.5,-100.0,-0.2,⚪ NORMAL
PNV-SAO,SAO-PNV,2026-04-19,1,10,5,139.7,44,0.11,0.11,39,28,32,30,16.7,25,0,0,3,0,0,0,0.8,-0.8,-100.0,0.0,⚪ NORMAL
BHZ-UDI,BHZ-UDI,2026-04-19,1,10,27,134.09,102,0.26,0.23,75,179,143,161,16.8,134,7,0,12,1,5,0,5.0,0.0,0.0,-0.2,⚪ NORMAL
BHZ-UDI,BHZ-UDI,2026-04-22,4,13,21,105.95,101,0.21,0.19,80,132,117,125,16.8,104,0,0,1,0,10,0,0.3,9.8,3900.0,1.3,⚪ NORMAL
BHZ-SJK,SJK-BHZ,2026-04-18,7,9,11,138.26,60,0.18,0.17,49,77,50,64,17.2,53,0,0,0,3,18,0,0.8,17.3,2300.0,2.6,⚪ NORMAL
SAO-SJK,SJK-SAO,2026-04-18,7,9,34,21.46,184,0.18,0.18,150,273,121,197,17.3,163,2,5,5,4,4,0,4.0,0.0,0.0,0.2,⚪ NORMAL
SAO-SJK,SAO-SJK,2026-04-19,1,10,28,20.69,184,0.15,0.14,156,184,131,158,17.7,130,1,5,4,4,3,2,3.5,-0.5,-14.3,0.2,⚪ NORMAL
QAK-SAO,SAO-QAK,2026-04-22,4,13,8,111.02,60,0.13,0.12,52,52,37,45,17.8,37,0,6,6,0,3,0,3.0,0.0,0.0,0.0,⚪ NORMAL
BHZ-MCE,BHZ-MCE,2026-04-20,2,11,5,126.5,45,0.11,0.11,40,27,28,28,17.9,23,0,2,0,0,0,0,0.5,-0.5,-100.0,-0.1,⚪ NORMAL
BOA-MAN,MAN-BOA,2026-04-18,7,9,6,110.9,43,0.14,0.14,37,23,42,33,18.2,27,0,0,2,0,0,0,0.5,-0.5,-100.0,0.0,⚪ NORMAL
IPA-VIX,IPA-VIX,2026-04-21,3,12,11,116.08,41,0.27,0.21,30,65,55,60,18.3,49,0,1,2,0,0,0,0.8,-0.8,-100.0,-0.1,⚪ NORMAL
BHZ-CMP,CMP-BHZ,2026-04-18,7,9,7,153.19,40,0.18,0.15,33,29,46,38,18.4,31,0,0,0,4,0,0,1.0,-1.0,-100.0,0.3,⚪ NORMAL
BHZ-MCL,BHZ-MCL,2026-04-18,7,9,17,93.02,128,0.13,0.13,111,74,110,92,18.5,75,0,0,0,0,21,0,0.0,21.0,,2.8,⚪ NORMAL
SAO-SJP,SAO-SJP,2026-04-18,7,9,52,87.28,233,0.22,0.16,181,286,272,279,18.6,227,0,2,5,4,1,0,2.8,-1.8,-63.6,0.3,⚪ NORMAL
QAK-SAO,QAK-SAO,2026-04-19,1,10,8,149.15,60,0.13,0.11,52,44,41,43,18.6,35,0,3,0,3,3,0,1.5,1.5,100.0,0.4,⚪ NORMAL
RAO-SAO,SAO-RAO,2026-04-19,1,10,129,66.57,647,0.2,0.16,518,699,673,686,18.8,557,10,15,22,21,16,0,17.0,-1.0,-5.9,1.2,⚪ NORMAL
SAO-SJK,SJK-SAO,2026-04-22,4,13,29,18.45,184,0.16,0.15,155,199,107,153,19.0,124,0,2,4,8,3,0,3.5,-0.5,-14.3,0.8,⚪ NORMAL
BHZ-IPA,BHZ-IPA,2026-04-20,2,11,34,60.64,315,0.11,0.09,281,175,177,176,19.3,142,2,0,4,7,3,0,3.3,-0.3,-7.7,0.6,⚪ NORMAL
CAB-VIX,CAB-VIX,2026-04-19,1,10,6,80.9,44,0.14,0.1,38,37,25,31,19.4,25,0,0,1,0,1,0,0.3,0.8,300.0,0.1,⚪ NORMAL
CPC-FLN,FLN-CPC,2026-04-18,7,9,32,167.96,82,0.39,0.32,50,199,128,164,19.5,132,0,4,4,8,4,0,4.0,0.0,0.0,0.8,⚪ NORMAL
PAS-SAO,PAS-SAO,2026-04-22,4,13,8,68.65,46,0.17,0.17,38,48,33,41,19.5,33,0,0,0,0,1,0,0.0,1.0,,0.1,⚪ NORMAL
IPA-VIX,VIX-IPA,2026-04-20,2,11,11,99.63,41,0.27,0.22,30,60,51,56,19.6,45,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
BHZ-UDI,UDI-BHZ,2026-04-20,2,11,18,130.12,102,0.18,0.16,84,96,87,92,19.6,74,0,3,3,9,4,0,3.8,0.3,6.7,0.9,⚪ NORMAL
BHZ-GYN,BHZ-GYN,2026-04-18,7,9,9,81.12,64,0.14,0.12,55,48,43,46,19.6,37,0,0,3,0,3,0,0.8,2.3,300.0,0.4,⚪ NORMAL
BHZ-CMP,BHZ-CMP,2026-04-19,1,10,14,187.11,40,0.35,0.32,26,78,64,71,19.7,57,0,8,0,0,6,0,2.0,4.0,200.0,0.3,⚪ NORMAL
IPA-VIX,VIX-IPA,2026-04-19,1,10,12,99.15,80,0.15,0.12,68,78,42,60,20.0,48,2,0,1,0,3,0,0.8,2.3,300.0,0.1,⚪ NORMAL
GVS-SAO,SAO-GVS,2026-04-19,1,10,11,131.81,56,0.2,0.16,45,58,51,55,20.0,44,0,0,0,15,3,0,3.8,-0.8,-20.0,1.4,⚪ NORMAL
SAO-UDI,UDI-SAO,2026-04-19,1,10,11,133.9,43,0.26,0.25,32,58,52,55,20.0,44,2,0,0,0,0,0,0.5,-0.5,-100.0,-0.3,⚪ NORMAL
BOA-MAN,BOA-MAN,2026-04-19,1,10,8,135.78,43,0.19,0.18,35,38,40,39,20.5,31,0,0,1,1,1,0,0.5,0.5,100.0,0.2,⚪ NORMAL
CAB-VIX,VIX-CAB,2026-04-20,2,11,6,59.23,44,0.14,0.11,38,30,28,29,20.7,23,0,3,0,0,0,0,0.8,-0.8,-100.0,-0.2,⚪ NORMAL
BAT-SAO,SAO-BAT,2026-04-19,1,10,25,77.94,136,0.18,0.15,111,124,117,121,20.7,96,1,0,2,5,4,0,2.0,2.0,100.0,0.7,⚪ NORMAL
MCL-SAO,SAO-MCL,2026-04-22,4,13,15,122.5,64,0.23,0.18,49,79,62,71,21.1,56,3,0,9,3,3,0,3.8,-0.8,-20.0,0.2,⚪ NORMAL
BHZ-MCL,MCL-BHZ,2026-04-22,4,13,24,83.36,128,0.19,0.18,104,110,118,114,21.1,90,6,0,6,3,6,3,3.8,2.3,60.0,0.2,⚪ NORMAL
MCE-SAO,SAO-MCE,2026-04-19,1,10,6,119.07,44,0.14,0.13,38,26,30,28,21.4,22,0,0,2,0,0,0,0.5,-0.5,-100.0,0.0,⚪ NORMAL
BHZ-IPA,IPA-BHZ,2026-04-18,7,9,46,60.1,269,0.17,0.13,223,211,219,215,21.4,169,2,4,4,8,7,0,4.5,2.5,55.6,0.9,⚪ NORMAL
MCE-RIO,RIO-MCE,2026-04-20,2,11,15,35.17,46,0.33,0.29,31,75,64,70,21.4,55,0,0,1,1,2,0,0.5,1.5,300.0,0.3,⚪ NORMAL
CAB-SAO,SAO-CAB,2026-04-22,4,13,21,146.0,135,0.16,0.15,114,114,82,98,21.4,77,0,4,2,2,0,0,2.0,-2.0,-100.0,-0.1,⚪ NORMAL
IPA-VIX,VIX-IPA,2026-04-22,4,13,14,82.97,81,0.17,0.14,67,65,65,65,21.5,51,0,5,1,0,0,0,1.5,-1.5,-100.0,-0.3,⚪ NORMAL
BHZ-SAO,BHZ-SAO,2026-04-22,4,13,58,127.31,305,0.19,0.18,247,315,222,269,21.6,211,3,2,17,13,8,0,8.8,-0.8,-8.6,1.4,⚪ NORMAL
BHZ-CMP,CMP-BHZ,2026-04-20,2,11,10,176.1,40,0.25,0.24,30,39,53,46,21.7,36,0,0,0,8,6,0,2.0,4.0,200.0,1.3,⚪ NORMAL
RIO-VIX,RIO-VIX,2026-04-19,1,10,39,108.18,172,0.23,0.21,133,159,197,178,21.9,139,3,0,4,5,3,0,3.0,0.0,0.0,0.3,⚪ NORMAL
PAS-SAO,PAS-SAO,2026-04-18,7,9,7,61.76,46,0.15,0.14,39,41,22,32,21.9,25,1,0,0,0,0,0,0.3,-0.3,-100.0,-0.1,⚪ NORMAL
CRG-SAO,CRG-SAO,2026-04-22,4,13,24,41.15,90,0.27,0.2,66,75,142,109,22.0,85,3,0,4,3,0,0,2.5,-2.5,-100.0,-0.2,⚪ NORMAL
RIO-UDI,UDI-RIO,2026-04-19,1,10,13,144.98,56,0.23,0.2,43,58,59,59,22.0,46,0,0,0,3,3,0,0.8,2.3,300.0,0.6,⚪ NORMAL
BHZ-DTI,BHZ-DTI,2026-04-20,2,11,15,58.9,133,0.11,0.09,118,66,70,68,22.1,53,0,0,2,1,3,0,0.8,2.3,300.0,0.5,⚪ NORMAL
BHZ-DTI,BHZ-DTI,2026-04-19,1,10,16,57.65,88,0.18,0.15,72,72,71,72,22.2,56,1,4,2,0,0,0,1.8,-1.8,-100.0,-0.4,⚪ NORMAL
BHZ-RIO,BHZ-RIO,2026-04-20,2,11,53,98.79,289,0.18,0.17,236,217,257,237,22.4,184,1,8,5,5,3,0,4.8,-1.8,-36.8,0.1,⚪ NORMAL
IPA-VIX,VIX-IPA,2026-04-18,7,9,11,93.26,41,0.27,0.23,30,49,49,49,22.4,38,0,0,0,3,0,0,0.8,-0.8,-100.0,0.2,⚪ NORMAL
MCE-RIO,MCE-RIO,2026-04-20,2,11,15,35.83,46,0.33,0.31,31,73,60,67,22.4,52,1,0,0,4,1,0,1.3,-0.3,-20.0,0.3,⚪ NORMAL
CDG-RIO,RIO-CDG,2026-04-18,7,9,22,57.63,92,0.24,0.24,70,136,60,98,22.4,76,1,3,1,0,3,0,1.3,1.8,140.0,0.1,⚪ NORMAL
