data,turno,rota_principal,sentido,antecedencia,dia_da_semana,pax,capacidade_atual,occ_atual,vagas_restantes,lf_pascoa_2026,lf_atual,ratio,tkm_atual,tkm_comp,preco_base,preco_est_draft,preco_est_novo,preco_com_sazonalidade,preco_com_flutuacao,mult_final,mult_flutuacao,price_cc,origem_match,qtd_dias_no_idx
2026-04-20,NOITE,RAO-RIO,RIO-RAO,10,2,45,53,0.85,8,0.0,0.7709,0.0,193.48,,184.9,187.9,292.9,292.9,380.77,1.584,1.3,201.643,sem_match,
2026-04-20,NOITE,RIO-UDI,RIO-UDI,10,2,34,56,0.61,22,0.4821,0.5428,1.1259,206.31,185.41,197.9,244.9,318.9,318.9,458.10947735744435,1.609,1.4365301892676212,236.985,com_turno,1.0
2026-04-21,MANHA,BHZ-RIO,RIO-BHZ,11,3,92,146,0.63,54,0.7767,0.6746,0.8686,211.24,256.0,95.9,114.9,239.9,239.9,311.87,2.5,1.3,289.99,com_turno,1.0
2026-04-21,NOITE,BAT-SAO,SAO-BAT,11,3,32,90,0.36,58,0.7424,0.3285,0.4425,118.74,179.07,136.9,166.9,183.9,183.9,231.50470795003125,1.341,1.2588619246875,254.6,com_turno,1.0
2026-04-21,NOITE,BHZ-BSB,BHZ-BSB,11,3,52,91,0.57,39,0.6163,0.5698,0.9246,214.76,,143.9,177.9,199.9,199.9,379.2854972138431,1.384,1.8973761741562936,244.116,com_turno,1.0
2026-04-21,NOITE,BHZ-CAB,CAB-BHZ,11,3,218,425,0.51,207,0.7053,0.5527,0.7837,289.69,307.78,150.9,188.9,350.9,350.9,430.82722222222225,2.32,1.2277777777777779,353.9,com_turno,1.0
2026-04-21,NOITE,BHZ-GYN,BHZ-GYN,11,3,39,64,0.61,25,0.479,0.5428,1.1333,135.0,205.14,100.9,110.9,133.9,133.9,209.20813726143237,1.324,1.5624207413101745,281.13,com_turno,1.0
2026-04-21,NOITE,BHZ-GYN,GYN-BHZ,11,3,29,64,0.45,35,0.5313,0.4052,0.7627,177.49,202.0,100.9,133.9,239.9,239.9,352.001009376,2.378,1.46728224,214.98,com_turno,1.0
2026-04-21,NOITE,BHZ-IPA,BHZ-IPA,11,3,13,180,0.07,167,0.0941,0.063,0.669,85.9,150.17,86.9,136.9,108.9,108.9,,1.253,,,com_turno,1.0
2026-04-21,NOITE,BHZ-MCE,MCE-BHZ,11,3,24,45,0.53,21,0.1857,0.5031,2.7094,195.28,,182.9,263.9,311.9,311.9,500.01472894245734,1.701,1.603125132870976,,com_turno,1.0
2026-04-21,NOITE,BHZ-RAO,RAO-BHZ,11,3,27,60,0.45,33,0.4513,0.3349,0.7422,175.2,239.95,135.9,181.9,209.9,209.9,265.4657775,1.539,1.264725,,com_turno,1.0
2026-04-21,NOITE,BHZ-UDI,BHZ-UDI,11,3,51,162,0.31,111,0.3178,0.3103,0.9764,163.27,202.05,118.9,166.9,172.9,172.9,199.68437124999997,1.451,1.1549124999999998,193.86,com_turno,1.0
2026-04-21,NOITE,BHZ-VIX,VIX-BHZ,11,3,223,502,0.44,279,0.5027,0.4592,0.9135,246.39,269.0,115.9,141.9,272.9,272.9,382.64548008543704,2.349,1.4021454015589485,296.623,com_turno,1.0
2026-04-21,NOITE,CAB-VIX,CAB-VIX,11,3,21,44,0.48,23,0.6868,0.4677,0.681,124.0,,105.9,136.9,178.9,178.9,223.625,1.687,1.25,,com_turno,1.0
2026-04-21,NOITE,CMP-RIO,CMP-RIO,11,3,28,60,0.47,32,0.3824,0.4567,1.1944,103.58,163.92,80.9,93.9,136.9,136.9,202.41256589024852,1.688,1.4785432132231446,184.12,com_turno,1.0
2026-04-21,NOITE,GVS-SAO,SAO-GVS,11,3,28,56,0.5,28,0.4919,0.3238,0.6582,121.51,225.41,117.9,133.9,147.9,147.9,,1.247,,269.648,com_turno,1.0
2026-04-21,NOITE,IPA-VIX,IPA-VIX,11,3,11,41,0.27,30,0.2381,0.2133,0.8959,116.08,203.58,110.9,142.9,158.9,158.9,190.68,1.428,1.2,,com_turno,1.0
2026-04-21,NOITE,MCE-SAO,MCE-SAO,11,3,19,44,0.43,25,0.6925,0.4154,0.5998,138.11,197.9,133.9,191.9,166.9,166.9,234.9543201855117,1.247,1.4077550640234373,,com_turno,1.0
2026-04-21,NOITE,QAK-SAO,QAK-SAO,11,3,36,60,0.6,24,0.792,0.5411,0.6832,179.98,253.17,123.9,164.9,234.9,234.9,288.927,1.89,1.23,318.333,com_turno,1.0
2026-04-21,NOITE,QAK-SAO,SAO-QAK,11,3,24,44,0.55,20,0.5464,0.4004,0.7328,132.4,214.14,116.9,152.9,183.9,183.9,262.6211435431075,1.573,1.4280649458570283,195.0,com_turno,1.0
2026-04-21,NOITE,RAO-RIO,RIO-RAO,11,3,91,140,0.65,49,0.5131,0.7123,1.3882,212.69,302.62,167.9,205.9,237.9,237.9,404.43,1.414,1.7,310.145,com_turno,1.0
2026-04-21,NOITE,RIO-SAO,SAO-RIO,11,3,87,381,0.23,294,0.5243,0.2282,0.4353,127.83,117.77,89.9,124.9,109.9,109.9,,1.216,,134.193,com_turno,1.0
2026-04-21,NOITE,RIO-UDI,RIO-UDI,11,3,34,56,0.61,22,0.4591,0.4757,1.0362,258.9,,178.9,224.9,281.9,281.9,518.032748293109,1.572,1.837647209269631,340.985,sem_turno,
2026-04-21,TARDE,CMP-GUR,GUR-CMP,11,3,45,45,1.0,0,0.5246,0.7717,1.4711,107.43,153.77,93.9,124.9,151.9,151.9,121.52000000000001,1.614,0.8,,com_turno,1.0
2026-04-21,TARDE,RIO-SAO,SAO-RIO,11,3,17,225,0.08,208,0.1694,0.0867,0.512,110.49,,94.9,133.9,123.9,123.9,117.705,1.299,0.95,125.402,com_turno,1.0
2026-04-21,TARDE,RIO-UDI,RIO-UDI,11,3,26,45,0.58,19,0.4591,0.4364,0.9505,178.59,291.59,187.9,341.9,444.9,444.9,,2.364,,373.987,com_turno,1.0
